,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,"
North America
","24,889,808","+209,938","534,030","+4,104","15,387,566","+116,364","8,968,212","35,696",,,,,,North America,"
",,
1,,"
Asia
","21,140,900","+84,414","344,051","+1,058","19,648,119","+77,999","1,148,730","24,354",,,,,,Asia,"
",,
2,,"
South America
","13,537,214","+60,557","368,940",+974,"12,099,227","+2,832","1,069,047","18,183",,,,,,South America,"
",,
3,,"
Europe
","24,937,073","+265,860","569,930","+5,342","13,383,398","+144,422","10,983,745","28,119",,,,,,Europe,"
",,
4,,"
Africa
","2,903,318","+9,311","69,032",+182,"2,393,643","+6,829","440,643","2,368",,,,,,Africa,"
",,
5,,"
Oceania
","48,730",+17,"1,066",,"33,599",+12,"14,065",20,,,,,,Australia/Oceania,"
",,
6,,"

",721,,15,,706,,0,0,,,,,,,"
116,109,DRC,"18,487",+239,599 ,,"14,723",,"3,165",,203,7,,,"90,938,078 ",Africa,"4,919","151,816",
117,110,Angola,"17,864",+108,413 ,+3,"11,477",+101,"5,974",11,535,12,"174,111","5,216","33,382,883 ",Africa,"1,869","80,830",192
118,111,Zimbabwe,"17,804",+610,431 ,+13,"11,966",+153,"5,407",,"1,189",29,"210,915","14,086","14,973,696 ",Africa,841,"34,742",71
119,112,Madagascar,"17,767",,262 ,,"17,298",,207,16,633,9,"101,223","3,608","28,052,316 ",Africa,"1,579","107,070",277
120,113,French Polynesia,"17,088",,121 ,,"4,842",,"12,125",20,"60,651",429,"26,355","93,542","281,745 ",Australia/Oceania,16,"2,328",11
121,114,Botswana,"15,440",,45 ,,"12,481",,"2,914",1,"6,499",19,"553,859","233,122","2,375,831 ",Africa,154,"52,796",4
122,115,Mauritania,"14,981",,367 ,,"12,639",,"1,975",65,"3,180",78,"127,287","27,015","4,711,658 ",Africa,315,"12,838",37
123,116,Maldives,"13,967",+37,48 ,,"13,225",+8,694,29,"25,608",88,"331,167","607,192","545,407 ",Asia,39,"11,363",2
124,117,Guinea,"13,845",,81 ,,"13,199",,565,24,"1,040",6,"108,411","8,143","13,313,381 ",Africa,962,"164,363",123
125,118,French Guiana,"13,632",+135,73 ,+1,"9,995",,"3,564",4,"45,048",241,"106,851","353,098","302,610 ",South America,22,"4,145",3
126,119,Malta,"13,612",+224,227 ,+1,"11,540",+80,"1,845",18,"30,786",513,"530,223","1,199,193","442,150 ",Europe,32,"1,948",1
127,120,Jamaica,"13,330",+84,306 ,+1,"11,182",+76,"1,842",7,"4,491",103,"141,945","47,828","2,967,833 ",North America,223,"9,699",21
128,121,Tajikistan,"13,305",,90 ,,"13,111",+51,104,,"1,379",9,,,"9,646,651 ",Asia,725,"107,185",
129,122,Cuba,"13,165",+201,148 ,+1,"11,248",+212,"1,769",20,"1,163",13,"1,542,178","136,198","11,323,038 ",North America,860,"76,507",7
130,123,Cabo Verde,"12,052",+69,113 ,,"11,633",+25,306,23,"21,557",202,"107,817","192,845","559,087 ",Africa,46,"4,948",5
131,124,Syria,"11,988",+98,747 ,+6,"5,753",+67,"5,488",,677,42,,,"17,716,669 ",Asia,"1,478","23,717",
132,125,Belize,"11,018",,258 ,,"10,230",,530,3,"27,455",643,"60,492","150,735","401,313 ",North America,36,"1,555",7
133,126,Eswatini,"10,539",+201,261 ,+9,"7,254",+120,"3,024",67,"9,036",224,"96,091","82,387","1,166,333 ",Africa,111,"4,469",12
